community_id,person_id
1490,4820; 13707
826,2992; 8584; 8596; 8603; 8616; 8617
421,2118; 4691; 7254; 8618; 9579; 9895; 10673; 10676; 10678; 12980; 13884
1322,13617
567,8753; 8754; 8757; 8892; 8972; 9083; 11003; 12171
206,1869; 4358; 7272; 8752; 11632; 11731
405,7601; 7622; 7719; 7803; 7815; 13740; 13743
418,7874; 8397
1072,7803; 7815
392,8343; 8355; 11352
485,3955; 4168; 4276; 4358; 6037; 8086; 8354; 9095; 13073
420,3436; 8964; 13738; 13821; 13824
129,2789
253,3627; 5457; 6668; 8964
